# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	173558
#@/user_id	745a313e-3b80-4f42-9e1d-fa237096293f
a 	呵	c=1 d=3.40453e-60 t=131593
a 	啊	c=1166 d=4.85722 t=173558
a 	阿	c=26 d=1.8119 t=173558
a bao 	阿寶	c=0 d=0.000198924 t=173558
a bao zhi gong 	阿寶職工	c=1 d=0.00199922 t=173558
a da 	阿達	c=1 d=1 t=133734
a da fa 	啊打法	c=1 d=0.1 t=148161
a da fa wu fa 	啊打法無法	c=1 d=1 t=148162
a da san da si 	啊大三大四	c=1 d=9.26451e-14 t=131593
a dai 	阿呆	c=9 d=1 t=163499
a diao 	阿刁	c=2 d=2.96297e-14 t=131593
a duo mi nuo 	啊多米諾	c=1 d=1.11624e-29 t=131593
a er 	阿爾	c=2 d=0.00485579 t=173558
a gen ting 	阿根廷	c=4 d=0.0062571 t=131593
a ha 	啊哈	c=19 d=0.0306538 t=173558
a jiao 	阿嬌	c=0 d=0.00675424 t=173558
a ka 	阿卡	c=0 d=8.01128e-11 t=173558
a ka li 	阿卡麗	c=10 d=0.0428521 t=173558
a li 	阿厘	c=1 d=2.88373e-48 t=131593
a li 	阿狸	c=2 d=9.26894e-49 t=173558
a li 	阿里	c=6 d=1.02828e-13 t=173558
a li ba ba 	阿里巴巴	c=2 d=1.48514e-06 t=173558
a li ge ren 	阿里個人	c=1 d=6.63565e-117 t=131593
a li si ta 	阿麗斯塔	c=1 d=5.06789e-05 t=173558
a li yun 	阿里雲	c=15 d=6.06089e-10 t=173558
a ma 	阿媽	c=1 d=2.61748e-26 t=173558
a mo xi lin 	阿莫西林	c=4 d=0.955014 t=173558
a mu 	阿母	c=0 d=0.000223168 t=173558
a mu mu 	阿木木	c=2 d=4.28598e-114 t=131593
a mu wei ru qiu 	阿母爲汝求	c=1 d=0.00224287 t=173558
a pa 	啊怕	c=1 d=4.83897e-20 t=173558
a sa si da fa 	啊薩斯打法	c=1 d=1 t=142709
a shi da fu 	啊士大夫	c=7 d=0.100761 t=173558
a shi da fu fen ga fei 	啊士大夫分噶霏	c=1 d=1 t=137033
a shi da fu gao hang jin kou liang 	啊士大夫高航進口量	c=1 d=8.85082e-06 t=173558
a shi da fu jin ka dang fei shou jiao kai fa jie kou da jia kan dai shu ju ku la se dui jin kou liang shen ke li jie si da jie kong liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke lan jie lu jing ke lu ji ke lu ji kao lv kao lv jie kou liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liu liang ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji ke lu ji kan kan liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke liang jie ke ling le 	啊士大夫金卡黨費收繳開發接口大家看帶數據庫垃圾堆進口量深刻理解四大皆空兩節課兩節課兩節課兩節課兩節課兩節課攔截路徑刻錄機刻錄機考慮考慮接口兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課流量計刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機刻錄機看看兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課兩節課領了	c=1 d=0.0340475 t=173558
a shu ju ku da shu ju fa ka jia fang 	啊數據庫大數據發卡甲方	c=1 d=1 t=156949
a shui 	阿水	c=1 d=5.93389e-08 t=131593
a si 	阿斯	c=0 d=0.1 t=168538
a si dun 	阿斯頓	c=26 d=0.904837 t=173558
a si dun fa sheng de 	阿斯頓發生地	c=1 d=0.100259 t=173558
a si dun kan lai jing an si kan feng jing a 	阿斯頓看來靜安寺看風景啊	c=1 d=1 t=156948
a si jia te 	阿斯加特	c=1 d=1 t=168539
a su da shui 	啊蘇打水	c=2 d=1.76338 t=168137
a yi 	阿姨	c=1 d=3.90005e-41 t=173558
a zi er 	阿茲爾	c=3 d=5.14449e-05 t=173558
ai 	哎	c=12 d=0.00212284 t=173558
ai 	唉	c=37 d=0.970785 t=173558
ai 	愛	c=7 d=3.65286e-06 t=173558
ai 	捱	c=2 d=9.28533e-11 t=173558
ai 	艾	c=1 d=0.00143012 t=173558
ai bu 	愛不	c=0 d=0.1 t=169650
ai bu ai 	愛不愛	c=0 d=4.35581e-195 t=131593
ai bu qi lai 	愛不起來	c=1 d=1 t=169651
ai cai 	愛才	c=0 d=6.46568e-195 t=131593
ai cai xin qie 	愛才心切	c=1 d=6.49808e-194 t=131593
ai chi 	愛吃	c=0 d=4.24402e-07 t=173558
