# Rime user dictionary
#@/db_name	luna_pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	5015
#@/user_id	745a313e-3b80-4f42-9e1d-fa237096293f
a 	啊	c=9 d=1.71725 t=5015
a ka 	阿卡	c=0 d=0.00871609 t=5015
a ka li 	阿卡麗	c=1 d=0.0875977 t=5015
ai fan er 	愛范兒	c=1 d=1 t=5015
ai hao 	愛好	c=1 d=0.08291 t=5015
an 	按	c=0 d=0.00256042 t=5015
an de sen 	安德森	c=1 d=0.491644 t=5015
an li 	案例	c=1 d=0.431711 t=5015
an quan 	安全	c=3 d=0.0808044 t=5015
an tiao jian cha xun 	按條件查詢	c=1 d=0.0257325 t=5015
an zhuang 	安裝	c=1 d=0.20037 t=5015
an zhuang bao 	安裝包	c=1 d=0.172907 t=5015
an zhuang hao zhi hou 	安裝好之後	c=1 d=0.173774 t=5015
an zhuo 	安卓	c=1 d=0.357007 t=5015
ba 	吧	c=3 d=1.07433 t=5015
ba 	把	c=2 d=0.312027 t=5015
ba ji 	八集	c=0 d=0.276816 t=5015
ba mei tiao shu ju 	把每條數據	c=1 d=0.141564 t=5015
ba shu ju feng zhuang cheng shi ti lei 	把數據封裝成實體類	c=1 d=0.140156 t=5015
ba shu ju feng zhuang dao 	把數據封裝到	c=1 d=0.147342 t=5015
bai 	白	c=0 d=0.0115325 t=5015
bai 	百	c=0 d=0.256985 t=5015
bai bai 	拜拜	c=2 d=0.698092 t=5015
bai fei 	白費	c=0 d=0.0115325 t=5015
bai he ce shi 	白盒測試	c=1 d=0.115903 t=5015
bai pi shu 	白皮書	c=1 d=0.174645 t=5015
ban 	班	c=2 d=0.223836 t=5015
ban ben 	版本	c=2 d=0.0152823 t=5015
ban ben hao 	版本號	c=1 d=0.0145524 t=5015
ban gong 	辦公	c=0 d=0.0109154 t=5015
ban ji 	班級	c=4 d=0.413594 t=5015
ban zang 	半藏	c=1 d=0.157237 t=5015
ban zi dong 	半自動	c=1 d=0.0122773 t=5015
ban zi dong hua 	半自動化	c=2 d=0.604026 t=5015
bang ding 	綁定	c=0 d=0.0102797 t=5015
bang ding zai 	綁定在	c=1 d=0.103312 t=5015
bao 	保	c=2 d=0.763379 t=5015
bao 	包	c=22 d=3.18689 t=5015
bao cun 	保存	c=8 d=1.61689 t=5015
bao cun dao gong xiang yu 	保存到共享域	c=1 d=0.715338 t=5015
bao cun dui xiang 	保存對象	c=1 d=0.0258615 t=5015
bao cun shu ju 	保存數據	c=5 d=1.61143 t=5015
bao cun shu ju dao gong xiang yu 	保存數據到共享域	c=1 d=0.166127 t=5015
bao cun yong hu 	保存用戶	c=1 d=0.209088 t=5015
bao cun zai gong xiang yu 	保存在共享域	c=1 d=0.0126512 t=5015
bao cuo 	報錯	c=2 d=0.647192 t=5015
bao han 	包含	c=0 d=0.000708341 t=5015
bao ming 	包名	c=1 d=0.0409665 t=5015
bao zhang 	保障	c=0 d=0.00162445 t=5015
bao zheng 	保證	c=0 d=0.0123687 t=5015
bao zi 	孢子	c=0 d=0.00121552 t=5015
bao zi wu yu 	孢子物語	c=1 d=0.0122161 t=5015
bei 	被	c=3 d=0.782705 t=5015
bei bao han 	被包含	c=1 d=0.00711891 t=5015
bei chuang jian 	被創建	c=1 d=0.109374 t=5015
bei diao yong 	被調用	c=1 d=0.267135 t=5015
bei jing 	北京	c=2 d=0.511709 t=5015
bei jing qing he 	北京清河	c=1 d=0.666977 t=5015
bei shan chu 	被刪除	c=0 d=0.132075 t=5015
bei yin yong 	被引用	c=1 d=0.66365 t=5015
bei zhu 	備註	c=1 d=0.13332 t=5015
ben dian 	本店	c=1 d=0.246597 t=5015
ben lei 	本類	c=1 d=0.460704 t=5015
ben zhi 	本質	c=1 d=0.477114 t=5015
beng 	崩	c=1 d=0.00755912 t=5015
bi 	幣	c=0 d=0.0202909 t=5015
bi ji 	筆記	c=1 d=0.618783 t=5015
bi jiao 	比較	c=1 d=0.213316 t=5015
bi jiao fan suo 	比較繁瑣	c=1 d=0.00878245 t=5015
bi jiao gao 	比較高	c=1 d=0.0102037 t=5015
bi jiao rong yi 	比較容易	c=0 d=0.00117371 t=5015
bi jiao rong yi shang shou 	比較容易上手	c=1 d=0.0117959 t=5015
bi mian 	避免	c=1 d=0.190139 t=5015
bi sai 	比賽	c=0 d=0.0121238 t=5015
bi she 	畢設	c=2 d=0.878095 t=5015
bi she bi 	畢設幣	c=1 d=0.203926 t=5015
bi tian 	必填	c=2 d=0.0838788 t=5015
bi tian zi duan 	必填字段	c=1 d=0.0699482 t=5015
bi xu 	必須	c=2 d=0.744119 t=5015
bi xu bao zheng 	必須保證	c=1 d=0.124307 t=5015
bi xu shu ru 	必須輸入	c=1 d=0.0702988 t=5015
bi xu wei 	必須爲	c=1 d=0.839457 t=5015
bi xu you 	必須有	c=1 d=0.565525 t=5015
bi zhi 	壁紙	c=0 d=0.0180866 t=5015
bian 	遍	c=1 d=0.0639279 t=5015
bian cheng 	編程	c=1 d=0.00804355 t=5015
bian cheng 	變成	c=0 d=0.00623495 t=5015
bian hao 	編號	c=9 d=1.54512 t=5015
bian hao ji he 	編號集合	c=1 d=0.32628 t=5015
bian hua 	變化	c=1 d=0.100761 t=5015
bian ma 	編碼	c=2 d=0.631607 t=5015
bian wei 	變爲	c=0 d=0.0806541 t=5015
bian xie 	編寫	c=0 d=0.0113042 t=5015
bian xie dai ma 	編寫代碼	c=1 d=0.113608 t=5015
bian xie yan zheng gui ze 	編寫驗證規則	c=1 d=0.0871609 t=5015
biao 	表	c=6 d=0.572933 t=5015
biao bai 	表白	c=0 d=0.0151829 t=5015
